league_key,league_name,season,top5_avg,top10_avg,whole_avg,source_system,source_url,as_of_date,confidence,note
ALLSVENSKAN,Allsvenskan (Sweden),2022-23,79.5765,76.9461,74.6192,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=16
ALLSVENSKAN,Allsvenskan (Sweden),2023-24,76.0191,73.7996,72.1369,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=16
ALLSVENSKAN,Allsvenskan (Sweden),2024-25,80.7527,78.4523,76.0836,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=16
ARG_PD,Liga Profesional (Argentina),2022-23,79.5967,77.9496,54.419,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=429
ARG_PD,Liga Profesional (Argentina),2023-24,78.9173,77.2925,50.674,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=534
ARG_PD,Liga Profesional (Argentina),2024-25,83.2413,81.9662,53.9786,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=495
AUSTRIAN,Austrian Bundesliga,2022-23,81.6932,77.6595,76.4982,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=12
AUSTRIAN,Austrian Bundesliga,2023-24,79.4216,75.5007,74.2498,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=12
AUSTRIAN,Austrian Bundesliga,2024-25,80.427,77.0089,75.9058,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=12
BELGIAN,Belgian First Division A,2022-23,83.3859,80.3982,77.7745,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=16
BELGIAN,Belgian First Division A,2023-24,84.3006,81.19,78.2144,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=16
BELGIAN,Belgian First Division A,2024-25,86.4288,82.7685,80.529,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=16
