league_key,season,rank_in_league,club_name,club_domestic_league,club_association,club_rating,computed_top5_avg,stored_top5_avg,avg_match,source_url
EPL,2022-23,1,Manchester City,Premier League,England,100.0,94.1355,94.1355,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EPL,2022-23,2,Liverpool,Premier League,England,94.2396,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EPL,2022-23,3,Arsenal,Premier League,England,93.1293,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EPL,2022-23,4,Manchester United,Premier League,England,92.4783,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EPL,2022-23,5,Newcastle United,Premier League,England,90.8305,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
LA_LIGA,2022-23,1,Real Madrid,Primera División,Spain,93.2529,90.5153,90.5153,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
LA_LIGA,2022-23,2,Barcelona,Primera División,Spain,91.7798,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
LA_LIGA,2022-23,3,Atlético Madrid,Primera División,Spain,91.2632,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
LA_LIGA,2022-23,4,Real Sociedad,Primera División,Spain,88.6973,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
LA_LIGA,2022-23,5,Villarreal,Primera División,Spain,87.5836,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SERIE_A,2022-23,1,Internazionale,Serie A,Italy,93.4327,90.7238,90.7238,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SERIE_A,2022-23,2,Napoli,Serie A,Italy,93.3193,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SERIE_A,2022-23,3,Milan,Serie A,Italy,89.4821,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SERIE_A,2022-23,4,Juventus,Serie A,Italy,89.0874,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SERIE_A,2022-23,5,Lazio,Serie A,Italy,88.2977,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EGYPTIAN,2022-23,1,Al Ahly,Premier League,Egypt,78.8198,73.9687,73.9687,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EGYPTIAN,2022-23,2,Pyramids,Premier League,Egypt,77.1009,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EGYPTIAN,2022-23,3,Zamalek,Premier League,Egypt,73.2471,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EGYPTIAN,2022-23,4,Future,Premier League,Egypt,71.531,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
EGYPTIAN,2022-23,5,Al Masry,Premier League,Egypt,69.145,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
ISRAELI,2022-23,1,Maccabi Haifa,Ligat Ha\'al,Israel,84.0835,78.8648,78.8648,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
ISRAELI,2022-23,2,Maccabi Tel Aviv,Ligat Ha\'al,Israel,83.3885,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
ISRAELI,2022-23,3,Hapoel Be\'er Sheva,Ligat Ha\'al,Israel,80.6484,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
ISRAELI,2022-23,4,Maccabi Netanya,Ligat Ha\'al,Israel,73.6403,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
ISRAELI,2022-23,5,Hapoel Jerusalem,Ligat Ha\'al,Israel,72.5631,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
KAZAKH,2022-23,1,Astana,Premier League,Kazakhstan,74.8521,72.3736,72.3736,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
KAZAKH,2022-23,2,Ordabasy,Premier League,Kazakhstan,73.1424,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
KAZAKH,2022-23,3,Aktobe,Premier League,Kazakhstan,72.4292,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
KAZAKH,2022-23,4,Kairat,Premier League,Kazakhstan,70.7599,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
KAZAKH,2022-23,5,Tobol,Premier League,Kazakhstan,70.6844,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SPL,2022-23,1,Al Ittihad,Saudi League,Saudi Arabia,79.212,76.7727,76.7727,OK,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SPL,2022-23,2,Al Hilal,Saudi League,Saudi Arabia,79.0279,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SPL,2022-23,3,Al Nassr,Saudi League,Saudi Arabia,78.1094,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
SPL,2022-23,4,Al Shabab,Saudi League,Saudi Arabia,74.752,,,,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js
